,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
89,Triticum aestivum cv. Alexandria,aestivum_galmes,1,0,False,10.3,0.1,4,0.1,,,414,7,,,,,,0.388,0.368,0.409,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
90,Carpobrotus edulis,edulis_galmes,1,0,False,9.5,0.2,3.6,0.1,,,313,17,,,,,,0.379,0.354,0.406,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
91,Ceratophyllum demersum,demersum_galmes,1,0,False,13.6,0.5,3.5,0.2,,,317,13,,,,,,0.257,0.223,0.293,,,,,,25,8,1,Macroalgae,Aquatic macrophyte using HCO3−,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
92,Iris douglasiana,douglasiana_galmes,1,0,False,9.7,0.6,3.5,0.2,,,413,22,,,,,,0.36,0.305,0.426,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
93,Agave victoriae−reginae,victoriae−reginae_galmes,1,0,False,9.7,0.4,3.4,0.1,,,400,44,,,,,,0.35,0.318,0.388,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
94,Crithmum maritimum,maritimum_galmes,1,0,False,8.7,0.1,3.4,0.1,,,183,31,,,,,,0.391,0.367,0.415,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
95,Drosera venusta,venusta_galmes,1,0,False,11.8,0.2,3.3,0.1,,,348,5,,,,,,0.28,0.261,0.299,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
96,Dactylis glomerata cv. Porto,glomerata_galmes,1,0,False,10.7,0.1,3.2,0.2,,,453,79,,,,,,0.299,0.262,0.336,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
97,Eucalyptus moorei,moorei_galmes,1,0,False,10,0.3,3.2,0.1,,,285,11,,,,,,0.32,0.294,0.349,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
98,Cycas panzhihuaensis,panzhihuaensis_galmes,1,0,False,8.8,0.2,3.1,0.3,,,525,21,,,,,,0.353,0.284,0.423,,,,,,25,8,1,Gymnosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
99,Atrichum undulatum,undulatum_galmes,1,0,False,19.2,0.1,3,0.2,,,806,100,,,,,,0.156,0.136,0.177,,,,,,25,8,1,Bryophyte,"Methods refer to Parry J. Ag Sci 2007. Uses 14C bicarb, unclear how CO2 calculated",Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
100,Trachycarpus fortunei,fortunei_galmes,1,0,False,9,0.8,2.8,0.1,,,364,21,,,,,,0.311,0.26,0.381,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
101,Limonium latebracteatum,latebracteatum_galmes,1,0,False,8.8,1,2.7,0.1,,,344,7,,,,,,0.306,0.247,0.396,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
102,Metasequoia glyptostroboides,glyptostroboides_galmes,1,0,False,15.5,1.3,2.7,0.4,,,561,68,,,,,,0.175,0.121,0.238,,,,,,25,8,1,Gymnosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
103,Pallenis maritima,maritima_galmes,1,0,False,6.4,0.3,2.7,0.1,,,321,20,,,,,,0.422,0.375,0.475,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
104,Teucrium heterophyllum,heterophyllum_galmes,1,0,False,6.7,0.1,2.7,0.1,,,359,65,,,,,,0.403,0.372,0.435,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
105,Limonium stenophyllum,stenophyllum_galmes,1,0,False,8.4,0.2,2.6,0.1,,,457,36,,,,,,0.31,0.283,0.338,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
106,Marchantia polymorpha,polymorpha_galmes,1,0,False,12.7,0.3,2.6,0.2,,,565,64,,,,,,0.204,0.173,0.238,,,,,,25,8,1,Bryophyte,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
107,Eucalyptus neglecta,neglecta_galmes,1,0,False,7.9,0.2,2.5,0.1,,,230,12,,,,,,0.317,0.288,0.347,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
108,Limonium virgatum,virgatum_galmes,1,0,False,8.5,0.2,2.4,0.1,,,381,35,,,,,,0.282,0.256,0.31,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
109,Nymphaea alba,alba_galmes,1,0,False,11.2,0.4,2.4,0.1,,,438,43,,,,,,0.214,0.192,0.238,,,,,,25,8,1,Basal angiosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
110,Platycerium superbum,superbum_galmes,1,0,False,12.4,0.2,2.3,0.1,,,459,42,,,,,,0.186,0.169,0.203,,,,,,25,8,1,Fern,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
111,Sideritis cretica subsp. spicata,cretica_galmes,1,0,False,7.8,0.1,2,0.3,,,328,16,,,,,,0.257,0.18,0.333,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
112,Spinacia oleracea,oleracea_gubernator,1,0,Unclear,,,,,46,5,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,Unclear what temperature this is at from the paper.,Gubernator 2008,17922215,"Gubernator, B., Bartoszewski, R., Kroliczewski, J., Wildner, G., and Szczepaniak, A. (2008). Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic cyanobacterium Thermosynechococcus elongatus. Photosynth. Res. 95, 101–109."
113,Synechococcus 7002,7002_gubernator,1,0,E. coli,,,,,,,,,,,,,,,,,,,,,,25,8.2,1,Cyanobacteria,Unclear what temperature this is at from the paper.,Gubernator 2008,17922215,"Gubernator, B., Bartoszewski, R., Kroliczewski, J., Wildner, G., and Szczepaniak, A. (2008). Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic cyanobacterium Thermosynechococcus elongatus. Photosynth. Res. 95, 101–109."
115,Rhodospirillum rubrum,rubrum_gutteridge,1,0,E. coli,84,10,5.9,0.2,7.6,0.262,,,,,,,,0.0701,0.0561,0.0918,,,,15,2,25,8.2,2,Alphaproteobacteria,Anaerobic assays for KC,Gutteridge 1984,https://doi.org/10.1002/j.1460-2075.1984.tb02204.x,"Gutteridge S et al., A site-specific mutation within the active site of ribulose-1,5-bisphosphate carboxylase of Rhodospirillum rubrum. EMBO J. 1984 Dec 1; 3(12):2737-43."
116,Thalassiosira hyalina,hyalina_haslam,1,0,False,,,,,97,3.4,,,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_21,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
117,Thalassiosira antarctica,antarctica_haslam,1,0,False,,,,,90,3.2,,,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_20,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
118,Skeletonema costatum,costatum_haslam,1,0,False,,,,,72,2.2,,,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_19,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
119,Chaetoceros socialis,socialis_haslam,1,0,False,,,,,92,2.1,,,,,,,,,,,,,,,,25,8.2,1,Diatoms,References Parry 1989 for S measurement,Haslam 2005,https://doi.org/10.1007/4-431-31014-2_18,"Haslam RP, Keys AJ, Andralojc PJ, Madgwick PJ, Andersson I, Grimsrud A Eilertsen HC, Parry MAJ. 2005. Specificity of diatom Rubisco. In: Omasa K, Nouchi I, De Kok LJ, eds. Plant Responses to Air Pollution and Global Change. Tokyo: Springer-Verlag, 157–164."
120,Thiobacillus denitrificans II,denitrificans_FII_hernandez,1,0,R. sphaeroides,256,61,3.5,0.208,13.3,0.8,619,237,0.635,0.151,1.51,0.636,,0.0136,0.00911,0.0263,0.00103,0.000679,0.00199,13.3,1.9,25,8,2,Betaproteobacteria,Almost certainly not carboxysomal. Not 100% on temp (table 2 gives specificity factor of 14),Hernandez 1996,8550452,"Hernandez, J. M., Baker, S. H., Lorbach, S. C., Shively, J. M., and Tabita, F. R. (1996). Deduced amino acid sequence, functional expression, and unique enzymatic properties of the form I and form II ribulose bisphosphate carboxylase/oxygenase from the chemoautotrophic bacterium Thiobacillus denitrificans. J. Bacteriol. 178, 347–356."
121,Thiobacillus denitrificans IA,denitrificans_FIA_hernandez,1,0,R. sphaeroides,138,5.1,1.9,0.113,42.7,1.6,1.64e+03,650,0.531,0.113,0.962,0.528,,0.0138,0.0119,0.0157,0.000322,0.000274,0.000377,43,0.9,25,8,1,Betaproteobacteria,Points to read & tabita 1992 for methods. Probably carboxysomal. Not 100% on temp  (table 2 gives specificity factor of 46),Hernandez 1996,8550452,"Hernandez, J. M., Baker, S. H., Lorbach, S. C., Shively, J. M., and Tabita, F. R. (1996). Deduced amino acid sequence, functional expression, and unique enzymatic properties of the form I and form II ribulose bisphosphate carboxylase/oxygenase from the chemoautotrophic bacterium Thiobacillus denitrificans. J. Bacteriol. 178, 347–356."
122,Pleurochrysis carterae,pleur_carterae_heureux,1,0,False,17.7,0.5,3.3,0.4,102,1,366,60,0.658,0.415,0.959,0.7,,0.186,0.141,0.233,0.00183,0.00138,0.00229,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
123,Pavlova lutheri,lutheri_heureux,1,0,False,14.5,1.6,2.5,0.1,125,2,1.15e+03,212,1.58,0.956,2.38,1.6,,0.173,0.139,0.223,0.00138,0.00111,0.00179,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
124,Tisochrysis lutea,lutea_heureux,1,0,False,24.1,0.5,2.2,0.1,89,1,800,55,0.819,0.687,0.962,0.8,,0.0913,0.0826,0.1,0.00103,0.000926,0.00113,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
125,Chlamydomonas reinhardtii,reinhardtii_jordan81,1,0,False,29,2.65,,,61,5,480,63.4,,,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a9,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
126,Euglena gracilis,gracilis_jordan81,1,0,False,25,2.28,,,54,2,410,54.1,,,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a8,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
127,Scenedesmus obliquus,obliquus_jordan81,1,0,False,38,3.47,,,63,2,660,87.1,,,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a7,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
128,Zea mays,mays_jordan81,1,0,False,34,3.1,,,78,3,810,107,,,,,,,,,,,,,,25,8.3,1,C4 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a6,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
129,Amaranthus hybridus,hybridus_jordan81,1,0,False,16,1.46,,,82,4,640,84.5,,,,,,,,,,,,,,25,8.3,1,C4 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a5,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
130,Glycine max,max_jordan81,1,0,False,9,0.821,,,82,5,430,56.8,,,,,,,,,,,,,,25,8.3,1,C3 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a4,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
